electrode_code	electrode_index	electrode_cluster
Oz	0	posterior_midline
Fpz	1	frontal_midline
Fp1	2	left_anterior
Fp2	3	right_anterior
AFz	4	frontal_midline
AF3	5	left_anterior
AF4	6	right_anterior
AF7	7	left_anterior
AF8	8	right_anterior
Fz	9	frontal_midline
F3	10	left_anterior
F4	11	right_anterior
F5	12	left_anterior
F6	13	right_anterior
F7	14	left_anterior
F8	15	right_anterior
F1	16	left_anterior
FC2	17	central
FCz	18	central
FC3	19	left_anterior
FC4	20	right_anterior
FC5	21	left_anterior
FC6	22	right_anterior
FT7	23	left_anterior
FT8	24	right_anterior
FC1	25	central
F2	26	right_anterior
Cz	27	central
C1	28	central
C2	29	central
C3	30	left_midline
C4	31	right_midline
C5	32	left_midline
C6	33	right_midline
T7	34	left_midline
T8	35	right_midline
CPz	36	central
CP3	37	left_posterior
CP4	38	right_posterior
CP5	39	left_posterior
CP6	40	right_posterior
TP7	41	left_posterior
TP8	42	right_posterior
P1	43	left_posterior
P2	44	right_posterior
Pz	45	posterior_midline
P3	46	left_posterior
P4	47	right_posterior
P5	48	left_posterior
P6	49	right_posterior
P8	50	right_posterior
CP1	51	central
CP2	52	central
POz	53	posterior_midline
PO3	54	left_posterior
PO4	55	right_posterior
PO7	56	left_posterior
PO8	57	right_posterior
O1	58	left_posterior
O2	59	right_posterior
